teams,rounds,scoring_type,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_k,slots_def,slots_bn,drafts,picks,seasons,first_season,last_season
10,15,ppr,1,2,2,1,2,1,1,5,968,145198,6,2020,2025
12,15,ppr,1,2,2,1,2,1,1,5,843,151739,6,2020,2025
12,14,ppr,1,2,2,1,2,0,0,6,517,86856,6,2020,2025
12,15,ppr,1,2,2,1,2,0,0,7,449,80820,6,2020,2025
12,16,ppr,1,2,2,1,2,1,1,6,310,59518,6,2020,2025
10,15,ppr,1,2,2,1,3,0,0,6,303,45450,6,2020,2025
12,15,ppr,1,2,2,1,3,0,0,6,275,49500,6,2020,2025
12,15,ppr,1,2,3,1,2,0,0,6,255,45900,6,2020,2025
12,15,half_ppr,1,2,2,1,2,0,1,6,253,45540,6,2020,2025
12,16,ppr,1,2,2,1,3,0,0,7,245,47040,6,2020,2025
12,15,ppr,1,2,2,1,1,1,1,6,228,41039,6,2020,2025
10,16,ppr,1,2,2,1,2,1,1,6,201,32160,6,2020,2025
8,15,ppr,1,2,2,1,2,1,1,5,183,21959,6,2020,2025
12,13,ppr,1,2,2,1,2,0,0,5,180,28081,6,2020,2025
12,20,ppr,1,2,3,1,2,0,0,11,166,39840,5,2021,2025
12,15,half_ppr,1,2,2,1,1,1,1,6,166,29880,6,2020,2025
12,18,half_ppr,1,2,3,1,1,0,0,10,159,34344,5,2021,2025
12,15,ppr,1,2,2,1,2,0,1,6,147,26460,6,2020,2025
12,18,ppr,1,2,2,1,2,0,0,10,146,31536,6,2020,2025
12,19,ppr,1,2,3,1,2,0,0,10,142,32376,5,2021,2025
12,14,half_ppr,1,2,2,1,2,0,1,5,138,23184,6,2020,2025
12,16,ppr,1,2,3,1,2,0,0,7,134,25728,6,2020,2025
12,16,ppr,1,2,2,1,1,1,1,7,134,25723,6,2020,2025
12,18,ppr,1,2,3,1,2,0,0,9,130,28080,6,2020,2025
