season,teams,rounds,scoring_type,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_k,slots_def,slots_bn,drafts,picks
2025,12,15,ppr,1,2,2,1,2,0,0,7,198,35640
2023,10,15,ppr,1,2,2,1,2,1,1,5,191,28650
2021,10,15,ppr,1,2,2,1,2,1,1,5,181,27149
2022,10,15,ppr,1,2,2,1,2,1,1,5,179,26850
2025,12,14,ppr,1,2,2,1,2,0,0,6,175,29400
2025,12,15,ppr,1,2,2,1,2,1,1,5,173,31140
2024,10,15,ppr,1,2,2,1,2,1,1,5,164,24600
2025,10,15,ppr,1,2,2,1,2,1,1,5,161,24150
2024,12,15,ppr,1,2,2,1,2,1,1,5,159,28620
2022,12,15,ppr,1,2,2,1,2,1,1,5,158,28439
2023,12,15,ppr,1,2,2,1,2,1,1,5,151,27180
2021,12,15,half_ppr,1,2,2,1,2,0,1,6,150,27000
2021,12,15,ppr,1,2,2,1,2,1,1,5,150,27000
2025,12,16,ppr,1,2,2,1,3,0,0,7,132,25344
2024,12,15,ppr,1,2,2,1,2,0,0,7,123,22140
2022,12,16,half_ppr,1,2,3,1,2,0,1,6,107,20544
2023,12,14,ppr,1,2,2,1,2,0,0,6,106,17808
2024,12,14,ppr,1,2,2,1,2,0,0,6,105,17640
2024,12,20,ppr,1,2,3,1,1,0,0,10,99,23760
2020,12,16,half_ppr,1,2,2,1,2,0,1,7,98,18816
2020,10,15,ppr,1,2,2,1,2,1,1,5,92,13799
2024,12,15,ppr,1,2,2,1,3,0,0,6,88,15840
2024,12,19,ppr,1,2,3,1,2,0,0,10,80,18240
2023,10,15,ppr,1,2,2,1,3,0,0,6,80,12000
2024,12,20,ppr,1,2,3,1,2,0,0,11,76,18240
2025,12,18,ppr,1,2,2,1,2,0,0,10,76,16416
2023,12,19,ppr,1,2,3,1,1,0,0,11,73,16644
2023,12,15,ppr,1,2,3,1,2,0,0,6,70,12600
2022,10,15,ppr,1,2,2,1,3,0,0,6,70,10500
2025,12,16,ppr,1,2,2,1,2,1,1,6,68,13056
2025,12,20,ppr,1,2,3,1,2,0,1,10,67,16080
2023,12,18,half_ppr,1,2,3,1,1,0,0,10,65,14040
2022,12,15,ppr,1,2,2,1,3,0,0,6,63,11340
2023,12,15,ppr,1,2,2,1,2,0,0,7,62,11160
2025,10,15,ppr,1,2,2,1,3,0,0,6,62,9300
2025,10,21,ppr,1,2,2,1,2,0,0,13,61,12810
2024,12,16,ppr,1,2,2,1,2,1,1,6,61,11712
2022,12,14,ppr,1,2,2,1,2,0,0,6,58,9744
2024,12,15,ppr,1,2,3,1,2,0,0,6,57,10260
2025,12,15,ppr,1,2,2,1,1,1,1,6,56,10079
2021,12,16,ppr,1,2,2,1,2,1,1,6,55,10560
2022,12,16,ppr,1,2,2,1,2,1,1,6,54,10368
2024,12,14,half_ppr,1,2,2,1,2,0,1,5,53,8904
2021,10,14,ppr,1,2,2,1,1,1,1,0,53,7420
2020,8,17,ppr,1,2,3,1,2,0,0,8,53,7207
2023,12,20,ppr,1,2,3,1,2,0,0,11,52,12480
2023,12,16,ppr,1,2,2,1,2,1,1,6,52,9984
2020,12,15,ppr,1,2,2,1,2,1,1,5,52,9360
2023,12,15,ppr,1,2,2,1,3,0,0,6,52,9360
2025,12,15,ppr,1,2,3,1,2,0,0,6,52,9360
2024,12,16,ppr,1,2,2,1,3,0,0,7,51,9792
2024,10,15,ppr,1,2,2,1,3,0,0,6,51,7650
2025,10,16,ppr,1,2,2,1,2,1,1,6,49,7840
2023,12,13,ppr,1,2,2,1,2,0,0,5,49,7644
2023,12,23,ppr,1,2,2,1,3,0,0,14,48,13248
2024,12,20,ppr,1,2,3,1,2,0,1,10,48,11520
2023,12,15,ppr,1,2,2,1,1,1,1,6,46,8280
2025,12,15,half_ppr,1,2,2,1,1,1,1,6,46,8280
2021,12,14,ppr,1,2,2,1,2,0,0,6,46,7728
2025,12,14,half_ppr,1,2,2,1,2,0,1,5,46,7728
2022,12,15,ppr,1,2,3,1,2,0,0,6,45,8100
2021,12,18,ppr,1,2,3,1,2,0,0,9,44,9504
2023,12,26,ppr,1,2,3,1,3,0,0,16,43,13416
2025,14,23,half_ppr,1,2,3,1,2,0,0,14,42,13524
2025,12,15,ppr,1,2,2,1,3,0,0,6,42,7560
2022,12,20,ppr,1,2,3,1,3,0,0,10,41,9840
2024,12,18,half_ppr,1,2,3,1,1,0,0,10,41,8856
2022,12,15,ppr,1,2,2,1,2,0,1,6,41,7380
2024,12,22,ppr,1,2,3,1,3,0,0,12,40,10560
2022,12,15,ppr,1,2,2,1,1,1,1,6,40,7200
2022,12,15,ppr,1,2,2,1,2,0,0,7,40,7200
2025,12,13,ppr,1,2,2,1,2,0,0,5,40,6241
2025,12,20,ppr,1,2,3,1,0,0,0,10,39,9360
2021,8,15,ppr,1,2,2,1,2,1,1,5,39,4679
2022,12,13,ppr,1,2,2,1,2,0,0,5,38,5928
2022,8,15,ppr,1,2,2,1,2,1,1,5,37,4440
2024,12,15,ppr,1,2,2,1,1,1,1,6,36,6480
2023,12,14,ppr,1,2,3,1,1,0,1,5,36,6048
2023,10,16,ppr,1,2,2,1,2,1,1,6,36,5760
2024,10,16,ppr,1,2,2,1,2,1,1,6,36,5760
2024,12,18,ppr,1,2,3,1,2,0,0,9,35,7560
2023,10,21,ppr,1,2,2,1,3,0,0,12,35,7350
2022,10,16,ppr,1,2,2,1,2,1,1,6,35,5600
2025,12,20,ppr,1,2,2,1,2,0,0,12,34,8160
2022,10,22,ppr,1,2,3,1,3,0,0,12,34,7480
2021,12,15,ppr,1,2,2,1,1,1,1,6,34,6120
2022,12,16,ppr,1,2,2,1,2,0,0,8,33,6336
2023,12,21,ppr,1,2,2,1,2,0,0,12,32,8064
2022,12,18,ppr,1,2,3,1,2,0,0,9,32,6912
2023,8,15,ppr,1,2,2,1,2,1,1,5,32,3840
2022,10,16,ppr,1,2,2,1,3,0,0,7,31,4960
